location_name,data_date,submitted_date,Province,District,malaria_rdt_0-4,malaria_rdt_5-14,malaria_rdt_15,malaria_tot,newid
Facility 5,2019-06-09,2019-06-10,Sofala,Beira,1,0,0,1,5
Facility 5,2019-06-08,2019-06-10,Sofala,Beira,10,2,8,20,5
Facility 5,2019-06-07,2019-06-10,Sofala,Beira,9,18,5,32,5
Facility 5,2019-06-07,2019-06-10,Sofala,Beira,9,18,5,32,5
Facility 5,2019-06-07,2019-06-10,Sofala,Beira,9,18,5,32,5
Facility 5,2019-06-07,2019-06-10,Sofala,Beira,9,18,5,32,5
Facility 5,2019-06-05,2019-06-10,Sofala,Beira,9,13,12,34,5
Facility 5,2019-06-06,2019-06-10,Sofala,Beira,17,11,9,37,5
Facility 14,2019-06-10,2019-06-10,Sofala,Dondo,8,3,11,22,14
Facility 35,2019-06-09,2019-06-10,Sofala,Nhamatanda,55,38,89,182,35
Facility 21,2019-06-09,2019-06-10,Sofala,Beira,20,19,3,42,21
Facility 35,2019-06-08,2019-06-10,Sofala,Nhamatanda,29,11,105,145,35
Facility 35,2019-06-07,2019-06-10,Sofala,Nhamatanda,48,34,59,141,35
Facility 35,2019-06-06,2019-06-10,Sofala,Nhamatanda,9,7,26,42,35
Facility 35,2019-06-04,2019-06-10,Sofala,Nhamatanda,113,22,83,218,35
Facility 35,2019-06-02,2019-06-10,Sofala,Nhamatanda,13,15,27,55,35
Facility 35,2019-06-05,2019-06-10,Sofala,Nhamatanda,61,37,55,153,35
Facility 47,2019-06-08,2019-06-10,Sofala,Buzi,0,0,0,0,47
Facility 30,2019-06-10,2019-06-10,Sofala,Beira,12,13,42,67,30
Facility 39,2019-05-14,2019-06-10,Sofala,Nhamatanda,7,13,11,31,39
Facility 39,2019-05-13,2019-06-10,Sofala,Nhamatanda,9,8,6,23,39
Facility 4,2019-06-09,2019-06-10,Sofala,Beira,0,0,0,0,4
Facility 13,2019-06-09,2019-06-10,Sofala,Beira,0,0,0,0,13
Facility 13,2019-06-08,2019-06-10,Sofala,Beira,0,0,0,0,13
Facility 33,2019-06-09,2019-06-10,Sofala,Buzi,1,1,0,2,33
Facility 33,2019-06-08,2019-06-10,Sofala,Buzi,0,0,0,0,33
Facility 8,2019-06-08,2019-06-10,Sofala,Beira,0,0,0,0,8
Facility 8,2019-06-07,2019-06-10,Sofala,Beira,12,4,7,23,8
Facility 52,2019-06-06,2019-06-10,Sofala,Beira,16,10,65,91,52
Facility 28,2019-06-08,2019-06-10,Sofala,Nhamatanda,14,11,12,37,28
Facility 25,2019-06-09,2019-06-10,Sofala,Beira,0,0,0,0,25
Facility 25,2019-06-08,2019-06-10,Sofala,Beira,0,0,0,0,25
Facility 28,2019-06-07,2019-06-10,Sofala,Nhamatanda,23,13,16,52,28
Facility 10,2019-06-09,2019-06-10,Sofala,Beira,0,4,10,14,10
Facility 25,2019-06-07,2019-06-10,Sofala,Beira,5,2,16,23,25
Facility 10,2019-06-08,2019-06-10,Sofala,Beira,0,7,11,18,10
Facility 10,2019-06-07,2019-06-10,Sofala,Beira,0,24,23,47,10
Facility 24,2019-06-09,2019-06-10,Sofala,Beira,32,30,70,132,24
Facility 16,2019-06-09,2019-06-10,Sofala,Buzi,0,0,3,3,16
Facility 15,2019-06-09,2019-06-10,Sofala,Buzi,1,3,0,4,15
Facility 29,2019-06-09,2019-06-10,Sofala,Dondo,0,0,0,0,29
Facility 23,2019-06-09,2019-06-10,Sofala,Dondo,0,0,0,0,23
Facility 23,2019-06-08,2019-06-10,Sofala,Dondo,0,0,0,0,23
Facility 26,2019-06-09,2019-06-10,Sofala,Beira,0,0,0,0,26
Facility 26,2019-06-08,2019-06-10,Sofala,Beira,0,0,0,0,26
Facility 26,2019-06-07,2019-06-10,Sofala,Beira,2,2,1,5,26
